CP1: 00:08.74
CP2: 00:20.24
CP3: 00:40.80
CP4: 00:46.94
CP5: 00:54.94
CP6: 01:07.90
CP7: 01:42.29
CP8: 01:59.85
CP9: 02:13.86
CP10: 02:54.02
CP11: 03:12.37
CP12: 03:24.58
CP13: 03:56.21
CP14: 04:26.40
CP15: 04:45.00
CP16: 06:38.26
CP17: 08:09.70
CP18: 08:17.97
CP19: 09:28.49
CP20: 10:02.68
CP21: 11:54.87
CP22: 12:29.58
CP23: 13:21.43
CP24: 15:00.54
CP25: 15:12.01
CP26: 17:19.18
CP27: 19:19.79
CP28: 34:22.16
CP29: 37:40.63
CP30: 37:54.82
CP31: 39:23.01
CP32: 40:53.42
CP33: 49:48.36
CP34: 51:03.65
CP35: 52:39.44
CP36: 53:42.59
CP37: 54:33.37
CP38: 56:26.40
CP39: 56:59.56
CP40: 01:01:36.98
CP41: 01:02:51.43
CP42: 01:03:24.96
CP43: 01:06:45.86
CP44: 01:07:14.50
CP45: 01:19:22.36
CP46: 01:20:01.18
CP47: 01:22:33.95
CP48: 01:28:35.75
CP49: 01:31:49.90
CP50: 01:33:27.67
CP51: 01:54:56.52
CP52: 01:56:12.78
CP53: 01:58:00.81
CP54: 02:00:27.39
CP55: 02:01:18.09
CP56: 02:02:56.23
CP57: 02:04:38.23
CP58: 02:06:01.40
CP59: 02:11:52.25
CP60: 02:12:34.23
CP61: 02:20:52.64
CP62: 02:23:59.05
CP63: 02:24:27.82
CP64: 02:26:02.21
CP65: 02:27:19.85
CP66: 02:28:27.42
CP67: 02:36:33.24
CP68: 02:36:59.62
CP69: 02:38:51.73
CP70: 03:06:28.79
CP71: 03:16:17.82
CP72: 03:29:14.41
CP73: 03:31:41.20
CP74: 03:32:14.40
CP75: 03:40:28.22
CP76: 04:04:24.06
CP77: 04:05:59.07
CP78: 04:11:32.76
CP79: 04:13:46.70
CP80: 04:15:14.74
CP81: 04:16:32.51
CP82: 04:31:44.34
CP83: 04:41:20.10
CP84: 04:43:53.00
CP85: 05:01:04.84
CP86: 05:10:40.47
CP87: 05:14:41.84
CP88: 05:28:53.16
CP89: 05:31:12.32
CP90: 05:35:08.23
CP91: 05:40:23.03
CP92: 05:53:45.01
CP93: 05:54:53.57
CP94: 05:55:55.97
CP95: 06:00:40.98
CP96: 06:01:06.20
CP97: 06:02:02.54
CP98: 06:06:22.09
CP99: 06:08:26.68
CP100: 06:10:42.29
CP101: 06:14:43.28
Finish: 06:53:51.95
